name_en,name_vi,description_en,description_vi,brand_name,category_name_en,is_active
Running Shoes 1,Giày chạy bộ 1,Running shoes for training,Giày chạy bộ luyện tập,Nike,Shoes,true
Running Shoes 2,Giày chạy bộ 2,Running shoes for training,Giày chạy bộ luyện tập,Adidas,Shoes,true
Running Shoes 3,Giày chạy bộ 3,Running shoes for training,Giày chạy bộ luyện tập,Asics,Shoes,true
Running Shoes 4,Giày chạy bộ 4,Running shoes for training,Giày chạy bộ luyện tập,New Balance,Shoes,true
Running Shoes 5,Giày chạy bộ 5,Running shoes for training,Giày chạy bộ luyện tập,Puma,Shoes,true
Running Shoes 6,Giày chạy bộ 6,Running shoes for training,Giày chạy bộ luyện tập,Reebok,Shoes,true
Running Shoes 7,Giày chạy bộ 7,Running shoes for training,Giày chạy bộ luyện tập,Decathlon,Shoes,true
Running Shoes 8,Giày chạy bộ 8,Running shoes for training,Giày chạy bộ luyện tập,Under Armour,Shoes,true
Football 1,Bóng đá 1,Standard football,Bóng đá tiêu chuẩn,Wilson,Balls,true
Football 2,Bóng đá 2,Standard football,Bóng đá tiêu chuẩn,Nike,Balls,true
Football 3,Bóng đá 3,Standard football,Bóng đá tiêu chuẩn,Adidas,Balls,true
Football 4,Bóng đá 4,Standard football,Bóng đá tiêu chuẩn,Puma,Balls,true
Football 5,Bóng đá 5,Standard football,Bóng đá tiêu chuẩn,Decathlon,Balls,true
Football 6,Bóng đá 6,Standard football,Bóng đá tiêu chuẩn,Reebok,Balls,true
Football 7,Bóng đá 7,Standard football,Bóng đá tiêu chuẩn,Mizuno,Balls,true
Football 8,Bóng đá 8,Standard football,Bóng đá tiêu chuẩn,Wilson,Balls,true
Badminton Racket 1,Vợt cầu lông 1,Durable badminton racket,Vợt cầu lông bền,Yonex,Rackets,true
Badminton Racket 2,Vợt cầu lông 2,Durable badminton racket,Vợt cầu lông bền,Li-Ning,Rackets,true
Badminton Racket 3,Vợt cầu lông 3,Durable badminton racket,Vợt cầu lông bền,Mizuno,Rackets,true
Badminton Racket 4,Vợt cầu lông 4,Durable badminton racket,Vợt cầu lông bền,Wilson,Rackets,true
Badminton Racket 5,Vợt cầu lông 5,Durable badminton racket,Vợt cầu lông bền,Yonex,Rackets,true
Badminton Racket 6,Vợt cầu lông 6,Durable badminton racket,Vợt cầu lông bền,Li-Ning,Rackets,true
Badminton Racket 7,Vợt cầu lông 7,Durable badminton racket,Vợt cầu lông bền,Mizuno,Rackets,true
Badminton Racket 8,Vợt cầu lông 8,Durable badminton racket,Vợt cầu lông bền,Wilson,Rackets,true
Sport Bag 1,Túi thể thao 1,Large sport bag,Túi thể thao lớn,Decathlon,Bags,true
Sport Bag 2,Túi thể thao 2,Large sport bag,Túi thể thao lớn,Nike,Bags,true
Sport Bag 3,Túi thể thao 3,Large sport bag,Túi thể thao lớn,Adidas,Bags,true
Sport Bag 4,Túi thể thao 4,Large sport bag,Túi thể thao lớn,Puma,Bags,true
Sport Bag 5,Túi thể thao 5,Large sport bag,Túi thể thao lớn,Reebok,Bags,true
Sport Bag 6,Túi thể thao 6,Large sport bag,Túi thể thao lớn,Under Armour,Bags,true
Sport Bag 7,Túi thể thao 7,Large sport bag,Túi thể thao lớn,Asics,Bags,true
Sport Bag 8,Túi thể thao 8,Large sport bag,Túi thể thao lớn,New Balance,Bags,true
